                _source  日付   式別   購入金額   払戻金額
12   20260104_tohyo.csv NaN  NaN  14100  11260
20   20260105_tohyo.csv NaN  NaN   7400  11220
32   20260110_tohyo.csv NaN  NaN  12000   7100
37   20260111_tohyo.csv NaN  NaN   4400   4280
64   20260112_tohyo.csv NaN  NaN   2400      0
76   20260117_tohyo.csv NaN  NaN   1000   1100
90   20260118_tohyo.csv NaN  NaN  16300   1290
98   20260124_tohyo.csv NaN  NaN   9100   2400
109  20260125_tohyo.csv NaN  NaN  11000   1280
118  20260131_tohyo.csv NaN  NaN  10800   8610
145  20260207_tohyo.csv NaN  NaN   7500   1200
149  20260210_tohyo.csv NaN  NaN   3000   3200
159  20260215_tohyo.csv NaN  NaN  10900   8400
189  20260221_tohyo.csv NaN  NaN  25800  29390
224  20260222_tohyo.csv NaN  NaN  28900  20140
307  20260315_tohyo.csv NaN  NaN  13400  56450
351  20260321_tohyo.csv NaN  NaN  34500  16370
415  20260322_tohyo.csv NaN  NaN  49100  35290
