No.,日付,日付S,場 R,場所,日次,Ｒ,レース名,発走時刻,クラス,年限定,芝ダ,距離,距離,外回り,コース区分,コースマーク,コースグループ数,コースグループ名1,頭,頭数,フルゲート頭数,R印1,レース印2,レース印3,枠番,馬番,B,馬印1,馬印2,馬印3,馬印4,馬名,馬名S,Ｃ,性,齢,性別,年齢,騎手,斤量,馬齢斤量差,斤量体重比,所属,調教師,所属,降級戦,投票,マイニング値,マイニング順位,ﾏｲ差,対戦型マイニング値,対戦型マイニング順位,Tﾏ差,指数1,指数順位1,指差1,指数2,指数順位2,指差2,指数3,指数順位3,指差3,指数4,指数順位4,指差4,取消しフラグ,人気,単オッズ,単ｼｪｱ,複勝人気,複勝オッズ下,上,複ｼｪｱ,単複S比,指時系1・単勝,指時系1・人気,指時系2・単勝,指時系2・人気,指時系3・単勝,指時系3・人気,指時系4・単勝,指時系4・人気,指時系1・複勝下,複上1,複人1,指時系2・複勝下,複上2,複人2,指時系3・複勝下,複上3,複人3,指時系4・複勝下,複上4,複人4,着,単勝,複勝,枠連配当,馬連配当,馬単配当,３連複配当,３連単配当,馬体重,増減,本賞金,収得賞金,キャリア(当時/取消等含),キャリア(最新),全1,全2,全3,全外,平1,平2,平3,平外,芝1,芝2,芝3,芝外,ダ1,ダ2,ダ3,ダ外,障1,障2,障3,障外,他1,他2,他3,他外,チェック騎手タイプ,チェック調教師タイプ,調教師多頭出し数,馬主多頭出し数,馬記号,馬主,馬主タイプ,生産者,生産者タイプ,産地,種牡馬,父タイプ名,母名,母父名,母父タイプ名,父母父名,父母父タイプ名,母母父名,母母父タイプ名,毛色,生年,誕生日,騎手誕生日(歳),調教師誕生日(歳),兄弟(収得1位),勝数,兄弟(収得2位),勝数,兄弟(収得3位),勝数,兄弟(収得4位),勝数,兄弟(収得5位),勝数,馬名の意味由来,チェック日,チェック馬コメント,チェック馬コメント,馬コメント,馬コメント,予想コメント,予想コメント,結果コメント,結果コメント,KOL関係者コメント,KOL関係者コメント,KOL次走へのメモ,KOL次走へのメモ,レースコメント,レースコメント,騎手コメント,騎手コメント,調教師コメント,調教師コメント,ワーク1,ワーク1S,ワーク2,ワーク2S,ワーク3,ワーク3S,ワーク4,ワーク4S,間隔,休明戦目,前番,前人気,前着順,前着差,前確定着順,前入線順位,前異常コード,前走騎手,乗替,前斤量,斤量差,前馬体重,前馬体重増減,前走開催,前場所,同場,前レース印,前レース印2,前レース印3,前馬印1,前印2,前印3,前印4,前印5,前印6,前印7,前印8,前芝ダ,前距離,距離差,前芝ダ,今芝ダ,前走コースマーク,前走コースグループ数,前走コースグループ名1,前馬場状態,前ｸﾗｽ,前頭数,頭差,前通過1,前通過2,前通過3,前通過4,前脚質,前走決め手,前3F順,前走予想コメント,前走予想コメント,前走結果コメント,前走結果コメント,前走KOLコメント,前走KOLコメント,前走KOL次走メモ,前走KOL次走メモ,前レースコメント,前走レースコメント,レースID(旧),レースID(新),血統登録番号,トラックC,トラックコード(JV),クラスC,グレード,競走種別C,重量C,競走記号コード,性別コード,馬記号コード,見習いコード,調教師所属コード,騎手コード,調教師コード,馬主コード,前レースID(新),前レースID(旧)
1,0321,2026.3.21,中1,中山,7,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,1,1,,,,,, エリンフレーム,エリンフレーム,,牝,3,牝,3,石橋脩, 55 ,0.0,,(美),清水英克,美浦,,1,,,,,,,,,,,,,,,,,,,,7,26.8,3.0,6,3.4,5.6,4.9,164.7,21.6,8,18.1,6,22.7,7,26.8,7,3.5,5.3,6,3.5,5.3,6,3.4,5.6,6,3.4,5.6,6,,,,,,,,,,,59,0,,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,田頭勇貴,,大栄牧場,,新冠町,フィレンツェファイア,ネイティヴダンサー系,エリンアクトレス,スクリーンヒーロー,ロイヤルチャージャー系,Langfuhr,ニアークティック系,ネオユニヴァース,ロイヤルチャージャー系,栗毛,2023,0217,"1984年 4月 3日(41歳)","1965年 9月24日(60歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626270101,202603210602070101,2023104203,1,24,7, ,12,3,023,2,00,0,1,01077,01080,855030,,
2,0321,2026.3.21,中1,中山,7,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,1,2,,,,,, リナクィーンアスク,リナクィーンアスク,,牝,3,牝,3,原優介, 55 ,0.0,,(美),田島俊明,美浦,,1,,,,,,,,,,,,,,,,,,,,8,30.4,2.6,8,5.5,9.2,2.9,108.7,24.9,9,19.2,8,25.5,9,30.4,8,5.3,8.2,9,4.7,7.1,9,5.5,9.3,9,5.5,9.2,8,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,廣崎利洋HD,,三嶋牧場,,平取町,アスクピーターパン,ニアークティック系,アッパレドンキ,ディープインパクト,ロイヤルチャージャー系,"Fuji Kiseki",ロイヤルチャージャー系,デヒア,ニアークティック系,鹿毛,2023,0410,"2000年 6月10日(25歳)","1974年 1月16日(52歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626270102,202603210602070102,2023105419,1,24,7, ,12,3,023,2,00,0,1,01184,01112,037803,,
3,0321,2026.3.21,中1,中山,7,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,2,3,,,,,, アジーザム,アジーザム,,牝,3,牝,3,上里直汰,52▲,-3.0,,(美),松尾卓哉,美浦,,1,,,,,,,,,,,,,,,,,,,,10,90.1,0.9,10,11.6,20.0,1.3,142.7,67.1,11,61.0,11,70.4,11,90.1,10,9.4,14.7,10,8.2,12.6,11,10.0,17.4,10,11.6,20.0,10,,,,,,,,,,,0,0,,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,飯田貴大,,千代田牧場,,新ひだか町,ドレフォン,ニアークティック系,ミッキーバディーラ,ディープインパクト,ロイヤルチャージャー系,Ghostzapper,ニアークティック系,"Unbridled's Song",ネイティヴダンサー系,鹿毛,2023,0223,"2007年 3月 1日(19歳)","1981年10月 7日(44歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626270103,202603210602070103,2023102951,1,24,7, ,12,3,023,2,00,3,1,01217,01220,271031,,
4,0321,2026.3.21,中1,中山,7,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,2,4,,,,,, ジュンサク,ジュンサク,,牝,3,牝,3,佐々木大, 55 ,0.0,,(美),伊坂重信,美浦,,1,,,,,,,,,,,,,,,,,,,,14,175.1,0.5,12,22.2,38.5,0.6,142.0,102.8,14,77.0,12,136.2,14,175.1,14,16.2,25.7,14,12.4,19.2,12,20.0,35.0,14,22.2,38.5,12,,,,,,,,,,,0,0,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,河合純二,,マリオステーブル,,新冠町,パイロ,ナスルーラ系,ジュンハイビスカス,ディープブリランテ,ロイヤルチャージャー系,"Wild Again",ニアークティック系,ブライアンズタイム,ロイヤルチャージャー系,栗毛,2023,0430,"2003年11月24日(22歳)","1977年 1月 1日(49歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626270104,202603210602070104,2023104579,1,24,7, ,12,3,023,2,00,0,1,01197,01177,165033,,
5,0321,2026.3.21,中1,中山,7,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,3,5,,,,,, テンハートビート,テンハートビート,,牝,3,牝,3,津村明秀, 55 ,0.0,,(美),西田雄一,美浦,,1,,,,,,,,,,,,,,,,,,,,2,3.8,20.8,2,1.3,1.7,22.2,106.8,3.6,1,4.0,2,3.4,1,3.8,2,1.4,1.8,1,1.4,1.8,1,1.2,1.6,1,1.3,1.7,2,,,,,,,,,,,150,0,,3,0,0,1,2,0,0,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,天白泰司,,隆栄牧場,,新冠町,リオンディーズ,ネイティヴダンサー系,ベストリーダー,ゼンノロブロイ,ロイヤルチャージャー系,スペシャルウィーク,ロイヤルチャージャー系,Vicar,ニアークティック系,黒鹿,2023,0210,"1986年 1月 5日(40歳)","1974年10月14日(51歳)",トレイトセオリー,2,ギフテッドリーダー,2,,,,,,,冠名＋鼓動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626270105,202603210602070105,2023104170,1,24,7, ,12,3,023,2,00,0,1,01092,01187,075006,,
6,0321,2026.3.21,中1,中山,7,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,3,6,,,,,, シエラモレーナ,シエラモレーナ,,牝,3,牝,3,野中悠太, 55 ,0.0,,(美),古賀慎明,美浦,,1,,,,,,,,,,,,,,,,,,,,9,34.3,2.3,9,7.0,11.9,2.2,93.3,20.4,6,14.7,5,23.7,8,34.3,9,4.4,6.7,8,3.7,5.6,7,5.2,8.8,8,7.0,11.9,9,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,京都ホースレーシング,,村上進治,,新冠町,ビッグアーサー,ナスルーラ系,シェリトリンド,ステイゴールド,ロイヤルチャージャー系,Kingmambo,ネイティヴダンサー系,Piccolo,マンノウォー系,鹿毛,2023,0423,"1996年12月29日(29歳)","1965年 6月11日(60歳)",エルデスペラード,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626270106,202603210602070106,2023105744,1,24,7, ,12,3,023,2,00,0,1,01158,01079,065803,,
7,0321,2026.3.21,中1,中山,7,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,4,7,,,,,, アメジストテソーロ,アメジストテソーロ,,牝,3,牝,3,木幡巧也, 55 ,0.0,,(美),稲垣幸雄,美浦,,1,,,,,,,,,,,,,,,,,,,,15,207.8,0.4,14,26.6,46.3,0.5,139.7,114.2,15,87.1,14,147.5,15,207.8,15,13.8,21.9,12,14.9,23.0,13,16.9,29.7,12,26.6,46.3,14,,,,,,,,,,,0,0,,2,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,了徳寺健二ホールディングス,,リョーケンファーム,,日高町,オルフェーヴル,ロイヤルチャージャー系,エリーテソーロ,"California Chrome",ナスルーラ系,メジロマックイーン,トゥルビヨン系,Songandaprayer,ネイティヴダンサー系,栗毛,2023,0314,"1996年 5月 9日(29歳)","1977年12月25日(48歳)",,,,,,,,,,,宝石名＋冠名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626270107,202603210602070107,2023106727,1,24,7, ,12,3,023,2,00,0,1,01162,01167,089803,,
8,0321,2026.3.21,中1,中山,7,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,4,8,,,,,, ペイトー,ペイトー,,牝,3,牝,3,木幡初也, 55 ,0.0,,(美),武市康男,美浦,,1,,,,,,,,,,,,,,,,,,,,3,3.9,20.3,1,1.2,1.7,22.2,109.6,4.2,2,5.1,3,4.0,2,3.9,3,1.4,1.9,1,1.5,1.9,2,1.3,1.8,2,1.2,1.7,1,,,,,,,,,,,89,0,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,ウエスト.フォレスト.ステイブル,,藤川フアーム,,新ひだか町,オーヴァルエース,ニアークティック系,ペイシャルアス,ストロングリターン,ロイヤルチャージャー系,グラスワンダー,ロイヤルチャージャー系,タイキシャトル,ロイヤルチャージャー系,栗毛,2023,0405,"1995年 4月 7日(30歳)","1971年 7月 9日(54歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626270108,202603210602070108,2023103127,1,24,7, ,12,3,023,2,00,0,1,01153,01089,368803,,
9,0321,2026.3.21,中1,中山,7,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,5,9,,,,,, ラブデウザ,ラブデウザ,,牝,3,牝,3,水沼元輝,52▲,-3.0,,(美),加藤和宏,美浦,,1,,,,,,,,,,,,,,,,,,,,5,17.8,4.5,5,2.9,4.7,6.0,133.5,21.5,7,19.7,9,18.3,5,17.8,5,3.4,5.2,5,3.8,5.7,8,3.2,5.3,5,2.9,4.7,5,,,,,,,,,,,173,0,,8,0,0,0,8,0,0,0,7,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,,,,オールラブクラブ,,ストームファームコーポレーション,,熊本県,リアルスティール,ロイヤルチャージャー系,ボンニデー,キングカメハメハ,ネイティヴダンサー系,"Storm Cat",ニアークティック系,Notebook,ナスルーラ系,鹿毛,2023,0319,"2002年 9月 2日(23歳)","1956年 3月 4日(70歳)",レッツゴーヒカリ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626270109,202603210602070109,2023109094,1,24,7, ,12,3,023,2,00,3,1,01201,01077,010700,,
10,0321,2026.3.21,中1,中山,7,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,5,10,,,,,, マーマレードスカイ,マーマレードスカイ,,牝,3,牝,3,松岡正海, 55 ,0.0,,(美),堀内岳志,美浦,,1,,,,,,,,,,,,,,,,,,,,4,6.2,12.8,4,1.5,2.3,14.4,112.4,5.2,4,5.9,4,5.5,4,6.2,4,1.6,2.2,3,1.6,2.3,3,1.6,2.5,4,1.5,2.3,4,,,,,,,,,,,75,0,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,吉田千津,,社台ファーム,,千歳市,レッドファルクス,ネイティヴダンサー系,メープルリキュール,オルフェーヴル,ロイヤルチャージャー系,サンデーサイレンス,ロイヤルチャージャー系,Meadowlake,セントサイモン系,芦毛,2023,0515,"1984年 7月18日(41歳)","1973年10月 5日(52歳)",デルマエアロール,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626270110,202603210602070110,2023103574,1,24,7, ,12,3,023,2,00,0,1,01085,01189,310007,,
