No.,日付,日付S,場 R,場所,日次,Ｒ,レース名,発走時刻,クラス,年限定,芝・ダ,距離,距離.1,外回り,コース区分,コースマーク,コースグループ数,コースグループ名1,頭,頭数,フルゲート頭数,R印1,レース印2,レース印3,枠番,馬番,B,馬印1,馬印2,馬印3,馬印4,馬名,馬名S,Ｃ,性,齢,性別,年齢,騎手,斤量,馬齢斤量差,斤量体重比,所属,調教師,所属.1,降級戦,投票,マイニング値,マイニング順位,ﾏｲ差,対戦型マイニング値,対戦型マイニング順位,Tﾏ差,指数1,指数順位1,指差1,指数2,指数順位2,指差2,指数3,指数順位3,指差3,指数4,指数順位4,指差4,取消しフラグ,人気,単勝オッズ,単ｼｪｱ,複勝人気,複勝オッズ下,上,複ｼｪｱ,単複S比,指時系1・単勝,指時系1・人気,指時系2・単勝,指時系2・人気,指時系3・単勝,指時系3・人気,指時系4・単勝,指時系4・人気,指時系1・複勝下,複上1,複人1,指時系2・複勝下,複上2,複人2,指時系3・複勝下,複上3,複人3,指時系4・複勝下,複上4,複人4,着順,単勝,複勝,枠連配当,馬連配当,馬単配当,３連複配当,３連単配当,馬体重,増減,本賞金,収得賞金,キャリア(当時/取消等含),キャリア(最新),全1,全2,全3,全外,平1,平2,平3,平外,芝1,芝2,芝3,芝外,ダ1,ダ2,ダ3,ダ外,障1,障2,障3,障外,他1,他2,他3,他外,チェック騎手タイプ,チェック調教師タイプ,調教師多頭出し数,馬主多頭出し数,馬記号,馬主,馬主タイプ,生産者,生産者タイプ,産地,種牡馬,父タイプ名,母名,母父名,母父タイプ名,父母父名,父母父タイプ名,母母父名,母母父タイプ名,毛色,生年,誕生日,騎手誕生日(歳),調教師誕生日(歳),兄弟(収得1位),勝数,兄弟(収得2位),勝数.1,兄弟(収得3位),勝数.2,兄弟(収得4位),勝数.3,兄弟(収得5位),勝数.4,馬名の意味由来,チェック日,チェック馬コメント,チェック馬コメント.1,馬コメント,馬コメント.1,予想コメント,予想コメント.1,結果コメント,結果コメント.1,KOL関係者コメント,KOL関係者コメント.1,KOL次走へのメモ,KOL次走へのメモ.1,レースコメント,レースコメント.1,騎手コメント,騎手コメント.1,調教師コメント,調教師コメント.1,ワーク1,ワーク1S,ワーク2,ワーク2S,ワーク3,ワーク3S,ワーク4,ワーク4S,間隔,休明戦目,前番,前走人気,前走着順,前着差,前確定着順,前入線順位,前異常コード,前騎手,乗替,前斤量,斤量差,前馬体重,前馬体重増減,前走開催,前場所,同場,前レース印,前レース印2,前レース印3,前馬印1,前印2,前印3,前印4,前印5,前印6,前印7,前印8,前芝ダ,前距離,距離差,前芝ダ.1,今芝ダ,前走コースマーク,前走コースグループ数,前走コースグループ名1,前馬場状態,前ｸﾗｽ,前頭数,頭差,前通過1,前通過2,前通過3,前通過4,前脚質,前走決め手,前3F順,前走予想コメント,前走予想コメント.1,前走結果コメント,前走結果コメント.1,前走KOLコメント,前走KOLコメント.1,前走KOL次走メモ,前走KOL次走メモ.1,前レースコメント,前走レースコメント,レースID(旧),レースID(新),血統登録番号,トラックC,トラックコード(JV),クラスC,グレード,競走種別C,重量C,競走記号コード,性別コード,馬記号コード,見習いコード,調教師所属コード,騎手コード,調教師コード,馬主コード,前レースID(新),前レースID(旧),開催
1,260301,2026.3.1,中1,中山,2,1,未勝利・牝,10:05,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,1,1,,,,,, バイアブランカ,バイアブランカ,,牝,3,牝,3,津村明秀, 55 ,0.0,10.9,(美),古賀慎明,美浦,,1,,,,,,,,,,,,,,,,,,,,4.0,4.9,16.2,3.0,1.6,2.3,14.4,89.1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,４,,,,,,,,506.0,- 4,148,0,1.0,2.0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,村野康司,,社台ファーム,,千歳市,イスラボニータ,ロイヤルチャージャー系,リベルタンゴ,Smart Strike,ネイティヴダンサー系,Cozzene,ナスルーラ系,Pure Prize,ニアークティック系,栗毛,2023,428,1986年 1月 5日(40歳),1965年 6月11日(60歳),タンゴバイラリン,3.0,ロケベンドラ,1.0,プエルトボニータ,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,13.0,7.0,５着,1.4,5.0,5.0,0.0,津村明秀,, 55 ,0.0,510,0.0,260201 1東2  3R,東京,別場,,,,,,,,,,,,ダ,1600.0,200.0,ダ,ダ,,,,良,未勝利,16.0,0.0,,,8.0,8.0,中,中団,4.0,,,,,,,,,,,0626220101,202603010602020101,2023103588,1,24,7, ,12,3,023,2,0,0,1,1092,1079,338007,2.0260201050102032e+17,0526120313,1中1
2,260301,2026.3.1,中1,中山,2,1,未勝利・牝,10:05,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,1,2,,,,,, ビレッジルイーザ,ビレッジルイーザ,,牝,3,牝,3,荻野極, 55 ,0.0,12.6,(美),伊藤圭三,美浦,,1,,,,,,,,,,,,,,,,,,,,8.0,23.2,3.4,8.0,5.2,8.1,3.3,95.2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,９,,,,,,,,436.0,- 4,84,0,6.0,8.0,0,0,0,8,0,0,0,8,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,村山輝雄,,林孝輝,,浦河町,ノーブルミッション,ニアークティック系,オーシャンウェイ,Street Cry,ネイティヴダンサー系,Danehill,ニアークティック系,A.P. Indy,ナスルーラ系,鹿毛,2023,324,1997年 9月23日(28歳),1963年 3月28日(62歳),ソルトブリーズ,2.0,シーニックウェイ,2.0,シールート,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.0,14.0,11.0,10着,1.0,10.0,10.0,0.0,石田拓郎,替,52▲,3.0,440,0.0,260125 1小2  7R,小倉,別場,,,,,,,,,,,,芝,2000.0,-200.0,芝,ダ,,,,良,未勝利,18.0,-2.0,6.0,6.0,1.0,1.0,先,先行,13.0,,,,,,,,,,,0626220102,202603010602020102,2023102170,1,24,7, ,12,3,023,2,0,0,1,1160,1023,160008,2.026012510010207e+17,1026120714,1中1
3,260301,2026.3.1,中1,中山,2,1,未勝利・牝,10:05,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,2,3,,,,,, シラカワゴウ,シラカワゴウ,,牝,3,牝,3,原田和真, 55 ,0.0,11.3,(美),上原博之,美浦,,1,,,,,,,,,,,,,,,,,,,,12.0,175.4,0.5,12.0,26.9,43.1,0.6,126.8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12,,,,,,,,488.0,+ 4,0,0,1.0,2.0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,鈴木義孝,,静内フアーム,,新ひだか町,ハービンジャー,ニアークティック系,ファイヤードラゴン,ジャングルポケット,ナスルーラ系,Bering,ネイティヴダンサー系,サンデーサイレンス,ロイヤルチャージャー系,鹿毛,2023,410,1994年 1月15日(32歳),1957年 1月25日(69歳),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1.0,5.0,13.0,16着,1.7,16.0,16.0,0.0,丸田恭介,替, 55 ,0.0,484,0.0,251019 4東7  5R,東京,別場,,,,,,,,,,,,芝,1800.0,0.0,芝,ダ,,,,良,新馬,18.0,-2.0,,3.0,5.0,5.0,中,中団,17.0,,,,,,,,,,,0626220103,202603010602020103,2023102734,1,24,7, ,12,3,023,2,0,0,1,1143,423,820009,2.025101905040705e+17,0525470505,1中1
4,260301,2026.3.1,中1,中山,2,1,未勝利・牝,10:05,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,2,4,,,,,, トレンドラド,トレンドラド,,牝,3,牝,3,杉原誠人, 55 ,0.0,12.4,(美),伊藤大士,美浦,,1,,,,,,,,,,,,,,,,,,,,14.0,255.5,0.3,13.0,30.5,48.9,0.5,162.6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,10,,,,,,,,444.0,-10,0,0,1.0,2.0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,長田忠千代,,チャンピオンズファーム,,新ひだか町,レイデオロ,ネイティヴダンサー系,シルバートレイン,Singspiel,ニアークティック系,シンボリクリスエス,ロイヤルチャージャー系,Silver Hawk,ロイヤルチャージャー系,栗毛,2023,218,1992年10月31日(33歳),1972年11月29日(53歳),ニッポンテイオー,2.0,アンティフリーズ,3.0,アオイプリンセス,2.0,クリスバローズ,1.0,アオイサンライズ,1.0,黄金の列車（西）,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,16.0,6.0,15着,3.5,15.0,15.0,0.0,佐々木大,替, 55 ,0.0,454,0.0,260215 1東6  3R,東京,別場,,,,,,,,,,,,ダ,1600.0,200.0,ダ,ダ,,,,良,新馬,16.0,0.0,,,14.0,16.0,後,後方,12.0,,,,,,,,,,,0626220104,202603010602020104,2023106087,1,24,7, ,12,3,023,2,0,0,1,1135,1109,394034,2.0260215050106032e+17,0526160316,1中1
5,260301,2026.3.1,中1,中山,2,1,未勝利・牝,10:05,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,3,5,,,,,, ドロボーネコ,ドロボーネコ,,牝,3,牝,3,上里直汰,52▲,-3.0,10.8,(美),武井亮,美浦,,1,,,,,,,,,,,,,,,,,,,,15.0,283.6,0.3,15.0,38.0,61.1,0.4,144.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,13,,,1270.0,,,,,482.0,-10,0,0,2.0,3.0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,SSレーシング,,スガタ牧場,,平取町,キンシャサノキセキ,ロイヤルチャージャー系,オートキュイジーヌ,フレンチデピュティ,ニアークティック系,Pleasant Colony,セントサイモン系,Mr. Prospector,ネイティヴダンサー系,鹿毛,2023,321,2007年 3月 1日(19歳),1980年12月25日(45歳),プリマジア,4.0,リヴェルディ,4.0,ウインランブル,2.0,アイムプラウド,1.0,コリエドール,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,5.0,10.0,11着,3.3,11.0,11.0,0.0,上里直汰,,52▲,0.0,492,24.0,260215 1東6  1R,東京,別場,,,,,,,,,,,,ダ,1300.0,500.0,ダ,ダ,,,,良,未勝利,16.0,0.0,,,8.0,9.0,中,中団,12.0,,,,,,,,,,,0626220105,202603010602020105,2023100517,1,24,7, ,12,3,023,2,0,3,1,1217,1147,973031,2.026021505010601e+17,0526160105,1中1
6,260301,2026.3.1,中1,中山,2,1,未勝利・牝,10:05,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,3,6,,,,,, サラサチャチャチャ,サラサチャチャチャ,,牝,3,牝,3,江田照男, 55 ,0.0,11.9,(美),田中剛,美浦,,1,,,,,,,,,,,,,,,,,,,,1.0,3.9,20.3,1.0,1.4,1.8,22.1,109.3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,２,,150.0,1270.0,1120.0,1860.0,4800.0,26830.0,464.0,- 4,720,0,5.0,6.0,0,3,0,3,0,3,0,3,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,,,,横井良明,,グランド牧場,,新ひだか町,ダノンスマッシュ,ネイティヴダンサー系,スズカエンジェル,High Yield,ニアークティック系,Hard Spun,ニアークティック系,Irgun,ロイヤルチャージャー系,鹿毛,2023,415,1972年 2月 8日(54歳),1961年 2月13日(65歳),アースエンジェル,4.0,トゥーサン,2.0,スピリットライズ,1.0,イントゥザターフ,2.0,グランドエンジェル,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.0,8.0,5.0,２着,0.3,2.0,2.0,0.0,江田照男,, 55 ,0.0,468,2.0,260210 1東4  3R,東京,別場,,,,,,,,,,,,ダ,1600.0,200.0,ダ,ダ,,,,稍重,未勝利,16.0,0.0,,,7.0,7.0,中,差し,3.0,,,,,,,,,,,0626220106,202603010602020106,2023102581,1,24,7, ,12,3,023,2,0,0,1,689,1119,430031,2.0260210050104032e+17,0526140308,1中1
7,260301,2026.3.1,中1,中山,2,1,未勝利・牝,10:05,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,4,7,,,,,, イデアクリスタル,イデアクリスタル,,牝,3,牝,3,横山和生, 55 ,0.0,11.7,(美),小西一男,美浦,,1,,,,,,,,,,,,,,,,,,,,3.0,4.9,16.2,2.0,1.4,1.9,18.8,116.3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,５,,,,,,,,472.0,- 4,452,0,5.0,6.0,0,1,0,5,0,1,0,5,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,,,,益田修一,,グランデファーム,,浦河町,ホークビル,ニアークティック系,トゥルヴァーユ,ダイワメジャー,ロイヤルチャージャー系,Giant's Causeway,ニアークティック系,タマモクロス,ナスルーラ系,栗毛,2023,331,1993年 3月23日(32歳),1955年 9月30日(70歳),スズジャッカル,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,6.0,6.0,４着,1.2,4.0,4.0,0.0,横山和生,, 55 ,0.0,476,4.0,260201 1東2  3R,東京,別場,,,,,,,,,,,,ダ,1600.0,200.0,ダ,ダ,,,,良,未勝利,16.0,0.0,,,16.0,16.0,後,追込,1.0,,,,,,,,,,,0626220107,202603010602020107,2023102033,1,24,7, ,12,3,023,2,0,0,1,1140,405,949030,2.0260201050102032e+17,0526120306,1中1
8,260301,2026.3.1,中1,中山,2,1,未勝利・牝,10:05,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,4,8,,,,,, ロジマギー,ロジマギー,,牝,3,牝,3,丸山元気, 55 ,0.0,11.8,(美),宮田敬介,美浦,,1,,,,,,,,,,,,,,,,,,,,5.0,8.1,9.8,4.0,2.0,2.9,10.7,108.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,３,,220.0,,,,4800.0,26830.0,468.0,0,215,0,1.0,2.0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,久米田正明,,ノーザンファーム,,安平町,ハービンジャー,ニアークティック系,ロジマギーゴー,ハーツクライ,ロイヤルチャージャー系,Bering,ネイティヴダンサー系,Ghostzapper,ニアークティック系,鹿毛,2023,307,1990年10月 3日(35歳),1980年10月 8日(45歳),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,11.0,3.0,５着,0.2,5.0,5.0,0.0,丸山元気,, 55 ,0.0,468,0.0,260104 1中1  6R,中山,同場,,,,,,,,,,,,芝,2000.0,-200.0,芝,ダ,,,,良,新馬,17.0,-1.0,2.0,2.0,2.0,2.0,先,先行,10.0,,,,,,,,,,,0626220108,202603010602020108,2023107361,1,24,7, ,12,3,023,2,0,0,1,1127,1175,399030,2.0260104060101062e+17,0626110611,1中1
9,260301,2026.3.1,中1,中山,2,1,未勝利・牝,10:05,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,5,9,,,,,, フライスカイハイ,フライスカイハイ,,牝,3,牝,3,吉田豊, 55 ,0.0,12.8,(美),菊川正達,美浦,,1,,,,,,,,,,,,,,,,,,,,10.0,112.7,0.7,10.0,14.9,23.8,1.1,149.3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,７,,,,,,,,430.0,+12,140,0,4.0,6.0,0,0,1,5,0,0,1,5,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,,,,吉田千津,,社台ファーム,,千歳市,ロードカナロア,ネイティヴダンサー系,ベイトゥベイ,Sligo Bay,ニアークティック系,Storm Cat,ニアークティック系,With Approval,ナスルーラ系,鹿毛,2023,414,1975年 4月19日(50歳),1962年11月17日(63歳),スワーヴアラミス,10.0,デッドアヘッド,4.0,キッズアガチャー,3.0,フジマサインパクト,4.0,ベイラム,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1.0,4.0,9.0,13着,3.9,13.0,13.0,0.0,佐々木大,替, 55 ,0.0,418,4.0,251206 5中1  2R,中山,同場,,,,,,,,,,,,ダ,1800.0,0.0,ダ,ダ,,,,良,未勝利,13.0,3.0,1.0,1.0,2.0,4.0,逃,逃げ,13.0,,,,,,,,,,,0626220109,202603010602020109,2023103544,1,24,7, ,12,3,023,2,0,0,1,733,1052,310007,2.025120606050102e+17,0625510204,1中1
10,260301,2026.3.1,中1,中山,2,1,未勝利・牝,10:05,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,5,10,,,,,, ダイユウアドバンス,ダイユウアドバンス,,牝,3,牝,3,佐藤翔馬,52▲,-3.0,10.4,(美),松永康利,美浦,,1,,,,,,,,,,,,,,,,,,,,11.0,169.1,0.5,11.0,25.5,40.9,0.6,129.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,８,,,,,,,,500.0,- 4,0,0,1.0,3.0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,大友靖岐,,笠松牧場,,浦河町,クリソベリル,ロイヤルチャージャー系,ニュアージュドール,ディープスカイ,ロイヤルチャージャー系,エルコンドルパサー,ネイティヴダンサー系,Kingmambo,ネイティヴダンサー系,鹿毛,2023,403,2004年11月 8日(21歳),1965年 2月15日(61歳),ランカンカン,2.0,マンボカリエンテ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,9.0,14.0,10着,1.7,10.0,10.0,0.0,佐藤翔馬,,52▲,0.0,504,0.0,260210 1東4  3R,東京,別場,,,,,,,,,,,,ダ,1600.0,200.0,ダ,ダ,,,,稍重,未勝利,16.0,0.0,,,14.0,13.0,後,後方,4.0,,,,,,,,,,,0626220110,202603010602020110,2023106308,1,24,7, ,12,3,023,2,0,3,1,1207,1093,448033,2.0260210050104032e+17,0526140309,1中1
