=== 全期間（メイン口のみ） ===
総投資: 346,000円
総払戻: 295,080円
総返還: 1,000円
損益: -49,920円
ROI: -14.4%
プラス日数: 8/23日

=== 日付別 ===
      日付    購入金額    払戻金額   返還金額       損益  ROI(%)     累計損益
20260104 14100.0 11260.0    0.0  -2840.0   -20.1  -2840.0
20260105  7400.0 11220.0    0.0   3820.0    51.6    980.0
20260110 12000.0  7100.0    0.0  -4900.0   -40.8  -3920.0
20260111 31300.0 38400.0    0.0   7100.0    22.7   3180.0
20260112  8500.0  1200.0    0.0  -7300.0   -85.9  -4120.0
20260117  1000.0  1100.0    0.0    100.0    10.0  -4020.0
20260118 16300.0  1290.0    0.0 -15010.0   -92.1 -19030.0
20260124  9100.0  2400.0    0.0  -6700.0   -73.6 -25730.0
20260125 11000.0  1280.0    0.0  -9720.0   -88.4 -35450.0
20260131 10800.0  8610.0    0.0  -2190.0   -20.3 -37640.0
20260201 12800.0 13640.0    0.0    840.0     6.6 -36800.0
20260207  7500.0  1200.0 1000.0  -5300.0   -70.7 -42100.0
20260210  3000.0  3200.0    0.0    200.0     6.7 -41900.0
20260215 10900.0  8400.0    0.0  -2500.0   -22.9 -44400.0
20260221 25800.0 29390.0    0.0   3590.0    13.9 -40810.0
20260222 28900.0 20140.0    0.0  -8760.0   -30.3 -49570.0
20260228 27300.0 17840.0    0.0  -9460.0   -34.7 -59030.0
20260301  3000.0  5700.0    0.0   2700.0    90.0 -56330.0
20260308  6200.0  3600.0    0.0  -2600.0   -41.9 -58930.0
20260314   100.0     0.0    0.0   -100.0  -100.0 -59030.0
20260315 16400.0 56450.0    0.0  40050.0   244.2 -18980.0
20260321 34500.0 16370.0    0.0 -18130.0   -52.6 -37110.0
20260322 48100.0 35290.0    0.0 -12810.0   -26.6 -49920.0
