=== 全期間合計 ===
総購入金額: 467,400円
総払戻金額: 478,740円
総返還金額: 3,000円
損益: 14,340円
ROI: 3.1%

=== 日付別 ===
        日付    購入金額    払戻金額  返還金額       損益  ROI(%)
20260104.0 12100.0 11260.0     0   -840.0    -6.9
20260105.0  7400.0 11220.0     0   3820.0    51.6
20260110.0 12000.0  7100.0     0  -4900.0   -40.8
20260111.0  9900.0  4280.0     0  -5620.0   -56.8
20260112.0  3700.0     0.0     0  -3700.0  -100.0
20260117.0  1000.0  1100.0     0    100.0    10.0
20260118.0  3600.0  1290.0     0  -2310.0   -64.2
20260124.0  3500.0  2400.0     0  -1100.0   -31.4
20260125.0  1600.0  1280.0     0   -320.0   -20.0
20260131.0  2500.0  8610.0     0   6110.0   244.4
20260201.0 12800.0 13640.0     0    840.0     6.6
20260207.0  6200.0  1200.0  1000  -4000.0   -64.5
20260210.0  3000.0  3200.0     0    200.0     6.7
20260215.0  3000.0  8400.0     0   5400.0   180.0
20260221.0  6100.0 29390.0     0  23290.0   381.8
20260222.0 12300.0 20140.0     0   7840.0    63.7
20260228.0 22100.0 17840.0     0  -4260.0   -19.3
20260301.0  3000.0  5700.0     0   2700.0    90.0
20260308.0  4200.0  3600.0     0   -600.0   -14.3
20260314.0   100.0     0.0     0   -100.0  -100.0
20260315.0  7100.0 56450.0     0  49350.0   695.1
20260321.0 28500.0 16370.0     0 -12130.0   -42.6
20260322.0 40100.0 35290.0     0  -4810.0   -12.0

=== 式別集計 ===
          式別    購入金額    払戻金額  返還金額       損益  ROI(%)
         3連単  2400.0     0.0     0  -2400.0  -100.0
    3連単1着ながし     0.0     0.0     0      0.0     NaN
    3連単2着ながし     0.0     0.0     0      0.0     NaN
 3連単フォーメーション   400.0 13100.0     0  12700.0  3175.0
3連単軸1頭ながしマルチ     0.0     0.0     0      0.0     NaN
         3連複     0.0     0.0     0      0.0     NaN
 3連複フォーメーション     0.0  7930.0     0   7930.0     inf
   3連複軸1頭ながし     0.0     0.0     0      0.0     NaN
         ワイド 49300.0 37960.0     0 -11340.0   -23.0
      ワイドながし     0.0  1230.0     0   1230.0     inf
 ワイドフォーメーション     0.0 16200.0     0  16200.0     inf
      ワイドＢＯＸ  2200.0   680.0     0  -1520.0   -69.1
          単勝 45000.0 52640.0     0   7640.0    17.0
          枠連  5300.0  1280.0     0  -4020.0   -75.8
  枠連フォーメーション     0.0  2370.0     0   2370.0     inf
          複勝 80800.0 74130.0  1000  -5670.0    -7.0
          馬単  1400.0     0.0     0  -1400.0  -100.0
  馬単フォーメーション     0.0     0.0     0      0.0     NaN
          馬連 18100.0  7740.0     0 -10360.0   -57.2
       馬連ながし     0.0     0.0     0      0.0     NaN
  馬連フォーメーション   900.0 43420.0     0  42520.0  4724.4
       馬連ＢＯＸ     0.0  1080.0     0   1080.0     inf
 ３連複フォーメーション     0.0     0.0     0      0.0     NaN
