日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻金額,返還金額
20260201,6,1,京都,日,3,複勝,10,1000,的中10,110,1100,0
20260201,7,1,京都,日,7,3連単フォーメーション,03／01；08／01；04；08,400,的中03→08→04,1070,1070,0
20260201,8,1,東京,日,7,複勝,6,1000,的中06,110,1100,0
20260201,9,1,京都,日,8,単勝,9,100,―,―,0,0
20260201,9,2,京都,日,8,複勝,9,1000,的中09,140,1400,0
20260201,10,1,東京,日,8,複勝,10,1000,的中10,110,1100,0
20260201,11,1,東京,日,8,単勝,10,100,的中10,270,270,0
20260201,12,1,京都,日,9,ワイド,02―07,800,的中02―07,350,2800,0
20260201,13,1,東京,日,9,単勝,9,200,―,―,0,0
20260201,13,2,東京,日,9,複勝,9,1000,的中09,160,1600,0
20260201,14,1,京都,日,10,馬連,01―08,500,―,―,0,0
20260201,14,2,京都,日,10,ワイド,01―08,1000,―,―,0,0
20260201,15,1,東京,日,10,複勝,14,1000,的中14,210,2100,0
20260201,16,1,京都,日,11,ワイドＢＯＸ,02；09；13；17,1200,―,―,0,0
20260201,17,1,東京,日,11,馬連フォーメーション,09／01；02；03；05；16,500,―,―,0,0
20260201,17,2,東京,日,11,ワイドＢＯＸ,01；02；03；05；16,1000,―,―,0,0
20260201,18,1,東京,日,12,複勝,1,1000,的中01,110,1100,0
