日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻金額,返還金額
20260104,1.0,1.0,京都,日,1.0,複勝,09,1000.0,的中09,110,1100.0,0.0
20260104,1.0,01,京都,日,1.0,複勝,09,1000.0,的中09,110,1100.0,0.0
20260104,2.0,1.0,中山,日,1.0,複勝,14,1100.0,的中14,110,1210.0,0.0
20260104,2.0,01,中山,日,1.0,複勝,14,1100.0,的中14,110,1210.0,0.0
20260104,3.0,1.0,京都,日,2.0,複勝,04,1200.0,的中04,110,1320.0,0.0
20260104,3.0,01,京都,日,2.0,複勝,04,1200.0,的中04,110,1320.0,0.0
20260104,4.0,1.0,中山,日,2.0,複勝,04,1300.0,的中04,100,1300.0,0.0
20260104,4.0,01,中山,日,2.0,複勝,04,1300.0,的中04,100,1300.0,0.0
20260104,5.0,1.0,京都,日,5.0,複勝,02,1300.0,的中02,150,1950.0,0.0
20260104,5.0,01,京都,日,5.0,複勝,02,1300.0,的中02,150,1950.0,0.0
20260104,6.0,1.0,京都,日,7.0,複勝,09,1900.0,―,―,0.0,0.0
20260104,6.0,01,京都,日,7.0,複勝,09,1900.0,―,―,0.0,0.0
20260104,7.0,1.0,京都,日,8.0,複勝,01,1000.0,的中01,130,1300.0,0.0
20260104,7.0,01,京都,日,8.0,複勝,01,1000.0,的中01,130,1300.0,0.0
20260104,8.0,1.0,京都,日,9.0,複勝,09,1300.0,的中09,110,1430.0,0.0
20260104,8.0,01,京都,日,9.0,複勝,09,1300.0,的中09,110,1430.0,0.0
20260104,9.0,1.0,京都,日,10.0,複勝,09,1500.0,的中09,110,1650.0,0.0
20260104,9.0,01,京都,日,10.0,複勝,09,1500.0,的中09,110,1650.0,0.0
20260104,10.0,1.0,京都,日,11.0,馬連フォーメーション,01／03；11；15,900.0,―,―,0.0,0.0
20260104,10.0,01,京都,日,11.0,馬連フォーメーション,01／03；11；15,900.0,―,―,0.0,0.0
20260104,11.0,1.0,中山,日,11.0,馬連,02―03,500.0,―,―,0.0,0.0
20260104,11.0,2.0,中山,日,11.0,3連複フォーメーション,02／03；12／01；02；03；05；07；08；12；13,1100.0,―,―,0.0,0.0
20260104,11.0,01,中山,日,11.0,馬連,02―03,500.0,―,―,0.0,0.0
20260104,11.0,02,中山,日,11.0,3連複フォーメーション,02／03；12／01；02；03；05；07；08；12；13,1100.0,―,―,0.0,0.0
20260105,12.0,1.0,京都,月,4.0,複勝,8.0,1000.0,的中08,210.0,2100.0,0.0
20260105,12.0,01,京都,月,4.0,複勝,8.0,1000.0,的中08,210.0,2100.0,0.0
20260105,13.0,1.0,中山,月,4.0,複勝,11.0,1000.0,的中11,110.0,1100.0,0.0
20260105,13.0,01,中山,月,4.0,複勝,11.0,1000.0,的中11,110.0,1100.0,0.0
20260105,14.0,1.0,中山,月,7.0,複勝,7.0,1100.0,的中07,170.0,1870.0,0.0
20260105,14.0,01,中山,月,7.0,複勝,7.0,1100.0,的中07,170.0,1870.0,0.0
20260105,15.0,1.0,京都,月,8.0,複勝,6.0,1000.0,的中06,180.0,1800.0,0.0
20260105,15.0,01,京都,月,8.0,複勝,6.0,1000.0,的中06,180.0,1800.0,0.0
20260105,16.0,1.0,中山,月,8.0,複勝,7.0,1000.0,的中07,110.0,1100.0,0.0
