日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻金額,返還金額
20260228,1,01,中山,土,3,単勝,07,200,―,―,0,0
20260228,1,02,中山,土,3,複勝,07,800,―,―,0,0
20260228,1,03,中山,土,3,ワイド,03-07,200,―,―,0,0
20260228,1,03,中山,土,3,ワイド,07-13,200,―,―,0,0
20260228,1,03,中山,土,3,ワイド,07-16,200,―,―,0,0
20260228,2,01,中山,土,4,単勝,11,200,―,―,0,0
20260228,2,02,中山,土,4,複勝,11,800,―,―,0,0
20260228,2,03,中山,土,4,ワイド,02-11,500,―,―,0,0
20260228,2,03,中山,土,4,ワイド,05-11,500,―,―,0,0
20260228,3,01,中山,土,5,単勝,07,200,―,―,0,0
20260228,3,02,中山,土,5,複勝,07,800,―,―,0,0
20260228,3,03,中山,土,5,ワイド,02-17,500,―,―,0,0
20260228,3,03,中山,土,5,ワイド,07-17,500,―,―,0,0
20260228,4,01,中山,土,6,単勝,05,200,―,―,0,0
20260228,4,02,中山,土,6,複勝,05,800,的中05,170,1360,0
20260228,4,03,中山,土,6,ワイド,04-05,200,―,―,0,0
20260228,4,03,中山,土,6,ワイド,05-08,200,的中05-08,680,1360,0
20260228,4,03,中山,土,6,ワイド,05-16,200,―,―,0,0
20260228,5,01,中山,土,7,単勝,09,200,―,―,0,0
20260228,5,02,中山,土,7,複勝,09,800,―,―,0,0
20260228,5,03,中山,土,7,ワイド,09-15,200,―,―,0,0
20260228,5,03,中山,土,7,ワイド,13-15,200,的中13-15,1150,2300,0
20260228,5,03,中山,土,7,ワイド,14-15,200,―,―,0,0
20260228,5,03,中山,土,7,ワイド,08-15,200,―,―,0,0
20260228,6,01,中山,土,8,単勝,07,400,―,―,0,0
20260228,6,02,中山,土,8,複勝,07,600,的中07,190,1140,0
20260228,6,03,中山,土,8,ワイド,01-07,500,的中01-07,370,1850,0
20260228,6,03,中山,土,8,ワイド,07-12,500,―,―,0,0
20260228,7,01,中山,土,9,単勝,04,400,―,―,0,0
20260228,7,02,中山,土,9,複勝,04,600,―,―,0,0
20260228,7,03,中山,土,9,ワイド,04-06,500,―,―,0,0
20260228,7,03,中山,土,9,ワイド,04-08,500,―,―,0,0
20260228,8,01,中山,土,10,単勝,16,400,―,―,0,0
20260228,8,02,中山,土,10,複勝,16,600,的中16,330,1980,0
20260228,8,03,中山,土,10,ワイド,06-16,500,―,―,0,0
20260228,8,03,中山,土,10,ワイド,09-16,500,―,―,0,0
20260228,9,01,中山,土,11,単勝,02,300,―,―,0,0
20260228,9,02,中山,土,11,複勝,02,1000,―,―,0,0
20260228,9,03,中山,土,11,３連複フォーメーション,"02,11,14／02,11,14／01,02,03,05,09,10,11,14",100／2100,―,―,0,0
20260228,9,04,中山,土,11,ワイドＢＯＸ,02；08；11,300／900,―,―,0,0
20260228,10,01,中山,土,12,単勝,01,400,―,―,0,0
20260228,10,02,中山,土,12,複勝,01,600,―,―,0,0
20260228,10,03,中山,土,12,ワイド,01-10,500,―,―,0,0
20260228,10,03,中山,土,12,ワイド,01-13,500,―,―,0,0
20260228,10,04,中山,土,12,３連複フォーメーション,"01／07,13／03,07,09,10,12,13",100／1000,―,―,0,0
20260301,11,01,中山,日,11,ワイド,01-10,1000,―,―,0,0
20260308,1,01,中山,日,9,複勝,16,1000,的中16,360,3600,0
20260308,2,01,中山,日,11,ワイドフォーメーション,04／01；05,500／1000,―,―,0,0
20260308,2,02,中山,日,11,３連複フォーメーション,"04,06／04,06／01,04,05,06,08,09,10",100／1000,―,―,0,0
20260308,3,01,阪神,日,9,ワイド,04-12,1000,―,―,0,0
20260308,4,01,阪神,日,10,ワイド,01-07,400,―,―,0,0
20260308,4,01,阪神,日,10,ワイド,04-07,500,―,―,0,0
20260308,4,01,阪神,日,10,ワイド,07-14,300,―,―,0,0
20260308,5,01,阪神,日,11,ワイド,06-08,1000,―,―,0,0
20260314,1,01,阪神,土,3,複勝,13,100,―,―,0,0
20260315,1,01,阪神,日,3,ワイド,12-14,1000,―,―,0,0
20260315,2,01,中山,日,3,複勝,13,1000,―,―,0,0
20260315,3,01,中京,日,3,ワイド,04-12,1000,―,―,0,0
